Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2023-01-04,326.9,327.3,315.4,325.4,319.7,320.05,320.1,330.7,165.25,3016870,"96,57,09,415.35",36152
2023-01-03,329,330.7,324.35,328.25,324.8,325.4,327.07,330.7,165.25,3036393,"99,31,23,698.35",28377
2023-01-02,324.3,329,323.75,324.3,328,328.25,326.9,330.5,165.25,1011815,"33,07,64,647.55",13729
2022-12-30,328.9,329.5,323.25,326.5,325,324.3,326.05,330.5,165.25,1613534,"52,60,95,837.95",18165
2022-12-29,320,327.5,317.4,321.75,327,326.5,322.4,330.5,165.25,2306713,"74,36,82,182.15",28205
2022-12-28,323.85,326.7,319.8,323.5,320.85,321.75,323.19,330.5,165.25,1706586,"55,15,54,023.90",18877
2022-12-27,321.6,325.95,320.5,320.35,322.85,323.5,323.32,330.5,165.25,2689611,"86,95,94,223.00",34457
2022-12-26,306.5,321.4,305.1,308.15,319.7,320.35,318.23,330.5,165.25,3012205,"95,85,75,476.40",33007
2022-12-23,313.6,314.75,306.7,316.3,308,308.15,309.68,330.5,165.25,3345847,"1,03,61,28,375.70",36739
2022-12-22,319,323.45,313.6,319,315.6,316.3,316.76,330.5,165.25,2038444,"64,57,01,851.25",22406
2022-12-21,329,330.5,317.7,327.4,318.05,319,324.66,330.5,165.25,4263341,"1,38,41,21,695.90",41588
2022-12-20,324.5,328.85,319,324.5,328.2,327.4,324.04,328.85,165.25,2233392,"72,37,09,835.95",22113
2022-12-19,323.85,325.3,313.3,323.05,324,324.5,320.49,326.55,165.25,3389328,"1,08,62,60,431.35",37743
2022-12-16,320.45,326.55,316.75,322.6,321.75,323.05,322.29,326.55,165.25,3837290,"1,23,67,10,979.55",36026
2022-12-15,318.95,325.3,318.15,319.35,320.5,322.6,322.6,325.3,165.25,3522801,"1,13,64,47,103.50",32228
2022-12-14,318.45,321.25,314,318.3,319,319.35,319.51,324.7,165.25,1405239,"44,89,91,460.70",18267
2022-12-13,324.7,324.7,317.2,323.1,317.7,318.3,319.57,324.7,165.25,2959479,"94,57,46,687.85",31645
2022-12-12,316,323.65,313.65,315.95,323.5,323.1,319.89,323.65,165.25,3811951,"1,21,93,94,563.90",36119
2022-12-09,319.5,320.2,312.05,317.05,316.25,315.95,316.48,323.65,165.25,2150553,"68,06,00,180.65",20956
2022-12-08,316.25,317.7,311.65,314.65,317,317.05,315.05,323.65,165.25,1683435,"53,03,63,050.45",18158
2022-12-07,321.95,321.95,313,319.2,314,314.65,316.28,323.65,165.25,1747704,"55,27,65,848.85",28768
2022-12-06,317.5,320.4,316,318.95,318.45,319.2,318.57,323.65,165.25,1851704,"58,98,95,386.60",29519
2022-12-05,322.2,323.65,317.35,319.2,318.5,318.95,320.15,323.65,165.25,2711201,"86,79,80,240.75",30241
2022-12-02,317.4,320.85,315.4,315.5,318.25,319.2,318.32,321,165.25,3277532,"1,04,32,97,532.95",34700
2022-12-01,317.65,321,314.7,316.45,315.5,315.5,318.06,321,165.25,4447547,"1,41,45,82,317.20",39655
2022-11-30,316.85,318,310.7,315.15,317.4,316.45,314.48,318,165.25,3736077,"1,17,49,12,426.20",36864
2022-11-29,314.3,318,312.95,312.7,314.2,315.15,315.49,318,165.25,7814998,"2,46,55,80,839.95",66006
2022-11-28,296.05,314,296.05,293.2,311.9,312.7,309.49,314,165.25,20698755,"6,40,59,71,699.30",138134
2022-11-25,283.55,294.3,283.1,282.1,292.75,293.2,290.22,303.6,165.25,5019984,"1,45,68,76,172.85",41126
2022-11-24,285.15,286.7,280.45,284,282.1,282.1,282.99,303.6,165.25,1787377,"50,58,09,902.70",15854
2022-11-23,283.8,286.45,281.8,284.4,283.3,284,284.3,303.6,165.25,2150977,"61,15,19,987.90",21146
2022-11-22,280.45,286,279.5,280.45,283,284.4,283.99,303.6,165.25,4001103,"1,13,62,74,731.60",37285
2022-11-21,274.7,281.7,272.7,273.3,279.95,280.45,278.45,303.6,165.25,5378366,"1,49,76,11,366.20",44220
2022-11-18,276.9,281.55,270,276.7,273.4,273.3,275.61,303.6,165.25,5855231,"1,61,37,85,953.25",50879
2022-11-17,277.75,281,275.15,277.35,275.7,276.7,278.47,303.6,165.25,5588794,"1,55,63,05,543.40",47214
2022-11-16,298.1,301.95,274.5,297.7,276.3,277.35,284.46,303.6,165.25,16069595,"4,57,10,83,576.15",112157
2022-11-15,291,303.6,290,285.35,298,297.7,298.94,303.6,165.25,16987072,"5,07,81,02,039.90",127801
2022-11-14,291.45,292.1,282.5,290.3,284.5,285.35,285.16,303.45,165.25,2684508,"76,55,26,342.15",29142
2022-11-11,295.5,298.95,288.75,293.85,289.8,290.3,294.58,303.45,165.25,2276331,"67,05,56,075.35",24538
2022-11-10,295,295.45,290.85,295.8,293.7,293.85,293.22,303.45,165.25,1590521,"46,63,72,277.25",21862
2022-11-09,301,302.15,291.1,300.75,295.1,295.8,295.8,303.45,165.25,4248129,"1,25,65,85,154.45",44099
2022-11-07,289.8,301.6,289.8,288.9,301,300.75,297.09,303.45,165.25,5723504,"1,70,03,84,181.65",48218
2022-11-04,286.45,289.6,285,286.45,289.6,288.9,287.28,303.45,165.25,1776393,"51,03,17,453.30",14783
2022-11-03,286.85,291.4,284,288.65,286.65,286.45,287.69,303.45,165.25,2123051,"61,07,79,600.30",21286
2022-11-02,291.75,294,287.5,292.95,287.5,288.65,290.25,303.45,165.25,1679080,"48,73,50,440.65",19717
2022-11-01,292.2,294.1,288.15,290.7,291.9,292.95,291.8,303.45,165.25,1986351,"57,96,10,474.95",26344
2022-10-31,290.65,293.4,289.15,289.2,290.1,290.7,290.87,303.45,165.25,2333379,"67,87,15,961.95",26221
2022-10-28,288.65,291.75,286.35,288.5,288.4,289.2,289.14,303.45,165.25,2360584,"68,25,46,028.10",25758
2022-10-27,288,289,284,287.45,288.85,288.5,286.87,303.45,165.25,1692821,"48,56,24,336.00",20240
2022-10-25,282.95,290.7,278.8,281.3,286.6,287.45,286.64,303.45,165.25,2651663,"76,00,69,207.30",23833
2022-10-24,285,285.5,279.25,281.75,281.2,281.3,282.49,303.45,165.25,405664,"11,45,94,200.75",6644
2022-10-21,284.3,286.3,277.95,282.3,281.8,281.75,282.78,303.45,165.25,2375508,"67,17,49,109.75",23649
2022-10-20,287.2,287.45,279.05,286.95,282.7,282.3,282.95,303.45,165.25,2037246,"57,64,47,112.55",20951
2022-10-19,283.2,291.75,283.2,280.25,287.2,286.95,287.79,303.45,165.25,7796511,"2,24,37,71,437.00",73470
2022-10-18,276.5,282.35,274.75,276.5,280,280.25,280.04,303.45,165.25,2958781,"82,85,62,316.65",33599
2022-10-17,271.95,277.35,268.1,271.1,276.2,276.5,274.56,303.45,165.25,2046926,"56,20,13,859.30",20321
