Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2023-01-04,331.85,332.5,326,331.1,326.6,327,327.48,361.45,207,6689769,"2,19,07,48,946.45",155935
2023-01-03,331.5,333.35,330.25,332.85,331.2,331.1,331.36,361.45,207,5997051,"1,98,71,85,279.40",103134
2023-01-02,330.9,334,329.65,331.55,332.8,332.85,332.25,361.45,207,5951893,"1,97,75,34,074.25",139495
2022-12-30,335.4,336.75,330.5,335.35,331,331.55,333.91,361.45,207,6960264,"2,32,41,23,983.35",86886
2022-12-29,334.35,335.75,331.55,334.4,335.45,335.35,333.6,361.45,207,8105359,"2,70,39,80,878.25",98175
2022-12-28,332.85,335,331.5,333.15,334.35,334.4,332.76,361.45,207,7737562,"2,57,47,44,214.30",114100
2022-12-27,335.6,336.4,330.15,334.6,333.05,333.15,333.36,361.45,207,6727343,"2,24,26,27,265.30",122372
2022-12-26,326.5,335.1,325.5,326.7,334.6,334.6,332.83,361.45,207,9566210,"3,18,39,41,256.40",183864
2022-12-23,330.9,331.9,325.35,332.45,326.05,326.7,327.9,361.45,207,10073884,"3,30,32,19,426.20",187134
2022-12-22,335.65,337.4,329.9,335.15,332.8,332.45,332.77,361.45,207,6584445,"2,19,10,82,235.30",101460
2022-12-21,341,341.25,334.5,340.15,335.7,335.15,336.78,361.45,207,7045201,"2,37,26,58,454.35",127807
2022-12-20,340.05,340.95,336.75,340.5,339.9,340.15,338.61,361.45,207,5482218,"1,85,63,20,822.20",80370
2022-12-19,336.8,342.35,335.35,335.1,340.05,340.5,339.82,361.45,207,7812801,"2,65,49,27,435.70",110172
2022-12-16,337.5,338.9,331.3,338.85,335.75,335.1,334.49,361.45,207,12429280,"4,15,74,23,586.75",207367
2022-12-15,344.75,346.1,338,345.4,338.7,338.85,341.22,361.45,207,8154931,"2,78,26,65,991.55",112979
2022-12-14,346,347.35,343.75,345.6,345.1,345.4,345.47,361.45,207,7379878,"2,54,95,57,384.50",128069
2022-12-13,344.5,346,342.4,343.2,345.05,345.6,344.45,361.45,207,10693426,"3,68,32,97,885.50",129845
2022-12-12,341,344,340.1,341.4,343.25,343.2,342.63,361.45,207,11214662,"3,84,24,54,919.60",147074
2022-12-09,339.75,342.5,338,338.4,342,341.4,340.59,361.45,207,8132228,"2,76,97,25,917.65",104951
2022-12-08,340.2,342.15,337.5,340.1,338.3,338.4,339.3,361.45,207,6200447,"2,10,38,41,069.30",135480
2022-12-07,338.5,341.5,336.65,337.3,340,340.1,339.89,361.45,207,9813208,"3,33,53,93,155.50",117952
2022-12-06,334.1,338.2,334.1,336.75,337.6,337.3,337.05,361.45,207,6327430,"2,13,26,40,560.40",82974
2022-12-05,337.65,338.85,334.15,337.15,336.6,336.75,335.88,361.45,207,9716390,"3,26,35,64,731.45",131793
