Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2023-01-04,"2,557.00","2,561.05","2,514.00","2,557.05","2,516.65","2,518.55","2,529.71","2,856.15","2,180.00",4275746,"10,81,63,99,502.15",182754
2023-01-03,"2,565.05","2,573.00","2,547.80","2,575.90","2,555.80","2,557.05","2,558.48","2,856.15","2,180.00",3534596,"9,04,31,99,290.70",135268
2023-01-02,"2,550.00","2,579.00","2,548.20","2,547.20","2,577.90","2,575.90","2,564.68","2,856.15","2,180.00",2453414,"6,29,22,10,762.05",97175
2022-12-30,"2,545.10","2,577.00","2,541.10","2,543.30","2,547.00","2,547.20","2,559.73","2,856.15","2,180.00",3364092,"8,61,11,63,857.75",147642
2022-12-29,"2,527.00","2,548.90","2,525.50","2,544.45","2,544.95","2,543.30","2,536.86","2,856.15","2,180.00",3198493,"8,11,41,44,680.25",124496
2022-12-28,"2,538.00","2,549.80","2,521.50","2,544.70","2,542.00","2,544.45","2,537.68","2,856.15","2,180.00",3442509,"8,73,59,79,365.75",158888
2022-12-27,"2,530.00","2,548.80","2,515.25","2,524.05","2,542.70","2,544.70","2,534.62","2,856.15","2,180.00",2659749,"6,74,14,52,650.05",138609
2022-12-26,"2,514.75","2,542.00","2,492.40","2,502.20","2,525.00","2,524.05","2,523.81","2,856.15","2,180.00",2764496,"6,97,70,59,265.30",117927
2022-12-23,"2,563.30","2,590.50","2,492.25","2,577.80","2,508.50","2,502.20","2,540.02","2,856.15","2,180.00",4733657,"12,02,35,88,105.45",231798
2022-12-22,"2,598.00","2,604.65","2,566.75","2,584.50","2,577.00","2,577.80","2,582.55","2,856.15","2,180.00",3438692,"8,88,05,81,065.90",149770
2022-12-21,"2,621.00","2,633.00","2,576.10","2,621.80","2,583.20","2,584.50","2,601.19","2,856.15","2,180.00",3935463,"10,23,68,89,380.75",142775
2022-12-20,"2,583.90","2,626.00","2,566.00","2,599.30","2,619.95","2,621.80","2,594.80","2,856.15","2,180.00",3446291,"8,94,24,20,886.85",165894
2022-12-19,"2,581.00","2,604.00","2,566.70","2,565.60","2,603.00","2,599.30","2,582.95","2,856.15","2,180.00",3567363,"9,21,43,19,519.75",174281
2022-12-16,"2,571.00","2,618.80","2,558.15","2,578.35","2,567.90","2,565.60","2,583.46","2,856.15","2,180.00",7308934,"18,88,23,67,676.10",216883
2022-12-15,"2,602.50","2,615.00","2,571.00","2,615.50","2,580.00","2,578.35","2,590.74","2,856.15","2,180.00",4009765,"10,38,82,61,664.65",175220
2022-12-14,"2,637.65","2,638.95","2,611.00","2,625.00","2,613.50","2,615.50","2,620.85","2,856.15","2,180.00",3354618,"8,79,19,39,261.60",149123
2022-12-13,"2,613.10","2,633.00","2,606.70","2,613.10","2,622.00","2,625.00","2,622.04","2,856.15","2,180.00",3845839,"10,08,39,40,253.45",136575
2022-12-12,"2,585.50","2,623.00","2,585.00","2,609.10","2,617.00","2,613.10","2,607.23","2,856.15","2,180.00",4374946,"11,40,65,08,900.60",151760
2022-12-09,"2,646.00","2,660.00","2,601.85","2,649.25","2,609.50","2,609.10","2,627.54","2,856.15","2,180.00",5840633,"15,34,64,88,528.00",172574
2022-12-08,"2,660.00","2,665.00","2,640.10","2,650.50","2,649.00","2,649.25","2,651.78","2,856.15","2,180.00",3579858,"9,49,29,88,488.55",144130
