Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2023-01-04,"3,306.70","3,327.35","3,286.20","3,311.35","3,313.10","3,314.65","3,306.45","4,043.00","2,926.10",1231668,"4,07,24,43,029.75",76844
2023-01-03,"3,252.00","3,320.00","3,245.30","3,261.45","3,312.00","3,311.35","3,300.29","4,043.00","2,926.10",1245178,"4,10,94,51,969.85",78401
2023-01-02,"3,261.00","3,266.85","3,235.20","3,256.70","3,263.00","3,261.45","3,254.07","4,043.00","2,926.10",709547,"2,30,89,12,232.40",51003
2022-12-30,"3,286.05","3,299.00","3,246.20","3,268.75","3,254.60","3,256.70","3,277.33","4,043.00","2,926.10",1163131,"3,81,19,63,963.95",66390
2022-12-29,"3,231.10","3,271.50","3,228.00","3,257.10","3,271.25","3,268.75","3,253.85","4,043.00","2,926.10",1037927,"3,37,72,54,033.45",68726
2022-12-28,"3,249.80","3,266.10","3,226.00","3,259.50","3,258.00","3,257.10","3,249.31","4,043.00","2,926.10",910795,"2,95,94,55,222.70",72613
2022-12-27,"3,269.20","3,273.80","3,231.50","3,252.90","3,262.00","3,259.50","3,251.33","4,043.00","2,926.10",835883,"2,71,77,28,954.70",69823
2022-12-26,"3,228.35","3,272.00","3,225.05","3,228.35","3,254.00","3,252.90","3,257.13","4,043.00","2,926.10",870157,"2,83,42,16,778.05",73081
2022-12-23,"3,217.00","3,266.85","3,217.00","3,259.70","3,231.00","3,228.35","3,239.40","4,043.00","2,926.10",1360281,"4,40,64,95,701.55",114542
2022-12-22,"3,294.00","3,294.00","3,245.10","3,268.55","3,255.00","3,259.70","3,260.93","4,043.00","2,926.10",1384101,"4,51,34,51,540.20",97031
2022-12-21,"3,249.00","3,283.05","3,240.00","3,243.95","3,262.25","3,268.55","3,260.50","4,043.00","2,926.10",1432566,"4,67,08,87,164.80",106805
2022-12-20,"3,198.90","3,249.00","3,163.65","3,202.05","3,242.00","3,243.95","3,211.24","4,043.00","2,926.10",1529971,"4,91,31,05,552.95",104239
2022-12-19,"3,227.00","3,245.50","3,194.50","3,240.25","3,205.25","3,202.05","3,210.19","4,043.00","2,926.10",2120965,"6,80,87,07,801.70",102305
2022-12-16,"3,275.00","3,292.00","3,225.20","3,305.10","3,235.95","3,240.25","3,255.07","4,043.00","2,926.10",2703680,"8,80,06,60,965.30",128993
2022-12-15,"3,358.80","3,364.75","3,298.95","3,365.35","3,303.90","3,305.10","3,325.60","4,043.00","2,926.10",1415694,"4,70,80,31,740.70",80331
2022-12-14,"3,348.80","3,377.00","3,340.90","3,332.10","3,363.00","3,365.35","3,362.22","4,043.00","2,926.10",1213311,"4,07,94,13,057.25",70963
